"Rank","Name","Country","Score","Tens","Xs"
"54","GSTOETTNER Andreas","AUT","658","26","7"
"55","WISE Alexander","GBR","658","26","6"
"56","PLIHON Pierre","FRA","658","24","9"
"57","OLIVEIRA Bernardo","BRA","657","30","9"
"58","COSTA Marcelo","BRA","657","26","8"
"59","MUSOLESI Federico","ITA","657","26","7"
"60","HENCKELS Jeff","LUX","656","28","10"
"61","PETERS Eric","CAN","656","28","9"
"62","STANWOOD Thomas","USA","656","26","11"
"63","STRAJHAR Gasper","SLO","656","22","5"
"64","MUSSAYEV Sanzhar","KAZ","655","28","10"
"65","MAXWELL Brian","CAN","655","21","8"
"66","OGRODOWCZYK Mateusz","POL","654","28","5"
"67","DING Yiliang","CHN","654","25","7"
"68","BAATARKHUYAG Otgonbold","MGL","653","26","9"
"69","SZAFRAN Marek","POL","652","24","9"
"70","HABJAN MALAVASIC Den","SLO","652","24","8"
"71","MOSESHVILI Jaba","GEO","652","23","4"
"72","ROJAS Carlos","MEX","651","26","12"
"73","AGUILAR Andres","CHI","651","26","6"
"74","PIFARRE TRUJILLO Miguel","ESP","651","23","12"
"75","FIRSAU Kiryl","BLR","651","23","9"
"76","BOARDMAN Ernesto","MEX","651","22","9"
"77","JANTSAN Gantugs","MGL","650","28","10"
"78","SOTO Ricardo","CHI","650","26","13"
"79","FABER Florian","SUI","650","24","6"
"80","REQUA Matthew","USA","650","22","6"
"81","HAVELKO Yuriy","UKR","650","20","9"
"82","BIZJAK Rok","SLO","649","29","16"
"83","PASQUALUCCI David","ITA","649","29","10"
"84","STEFANOVIC Nikola","SRB","649","27","13"
"85","DUZELBAYEV Sultan","KAZ","649","27","8"
"86","BARBER Thomas","GBR","649","25","6"
"87","KLEIN Pit","LUX","649","22","7"
"88","TOMATSU Daisuke","JPN","648","24","6"
"89","RAVNIKAR Ziga","SLO","648","20","7"
"90","KASPROWSKI Oskar","POL","648","19","7"
"91","DAL Erdal Meric","TUR","645","22","8"
"92","PIIPPO Samuli","FIN","642","21","9"
"93","DALIDOVICH Pavel","BLR","640","25","6"
"94","MIHALIC Matija","CRO","640","18","8"
"95","BAASANKHUU Adiyasuren","MGL","639","28","7"
"96","LIAHUSHEV Alexander","BLR","639","18","10"
"97","IEPURI Ghenadi","ROU","638","24","11"
"98","IRRASCH Dominik","AUT","638","24","9"
"99","DANILA Andrei","ROU","638","19","4"
"100","SCHWEIGHOFER Julian","AUT","637","20","6"
"101","IVANYTSKYY Heorhiy","UKR","637","19","5"
"102","RUFER Thomas","SUI","636","16","6"
"103","KIM Edson","BRA","634","20","7"
"104","MESTVIRISHVILI Zurab","GEO","634","16","5"
"105","SUGIO Tomoki","JPN","632","18","5"
"106","REMAR Alen","CRO","631","18","6"
"107","MOSÉN Jacob","SWE","628","16","4"
"108","PRILEPOV Anton","BLR","628","15","5"
"109","HAMOR Martin","CZE","627","21","7"
"110","KLEIN Joe","LUX","626","18","6"
"111","BANCHEV Ivan","BUL","626","17","5"
"112","BÆK Eli Kure","DEN","625","21","7"
"113","VENGEROV Roman","AZE","623","14","6"
"114","FLINK Ludvig","SWE","623","14","5"
"115","HUMMELBRUNNER Bernhard","AUT","615","17","7"
"116","SORLEY Conner","CAN","614","17","5"
"117","PAINEVIL NAVARRO Juan","CHI","610","19","4"
"118","SHAHNAZARYAN Vasil","ARM","606","12","2"
"119","HAZARUMYAN Gevorg","ARM","604","13","8"
"120","MATHESON Finn","NZL","594","7","2"
"121","VELLEMAN David","NZL","586","6","1"
"122","TAYLOR Adam","IRL","584","7","5"
"123","MARTIROSYAN Hamlet","ARM","581","10","4"
"124","MOSCA Johnathan","TTO","580","7","2"
"125","LUZHNICA Atdhe","KOS","577","7","1"
"126","SHIRINOV ALMAZ Almaz","KGZ","575","6","1"
"127","EMANUEL Peter","NZL","567","12","3"
"128","RUSS Caleb","NZL","548","6","0"
"129","ASLLANI Hazir","KOS","521","8","3"
